Card Set,Number,Player,Team,Seq.
2018 Spectra HOF Signatures,20,Brett Favre,Green Bay Packers,49
2019 Field Level Signatures,5,JuJu Smith-Schuster,Pittsburgh Steelers,98
2019 Pinnacle Inscriptions,36,Rob Gronkowski,New England Patriots,50
2020 Award Winners,3,Patrick Mahomes II,Kansas City Chiefs,
2020 Award Winners,11,Tom Brady,New England Patriots,
2020 Award Winners,19,Joe Montana,San Francisco 49ers,
2020 NFL 100 Signatures,22,Jack Ham,Pittsburgh Steelers,
2020 NFL 100 Signatures,44,Randall McDaniel,Minnesota Vikings,
Autographs,0,DUMMY,No Team,
Autographs Mosaic,1,Jevon Kearse,Tennessee Titans,
Autographs Mosaic,2,N'Keal Harry,New England Patriots,
Autographs Mosaic,3,Diontae Johnson,Pittsburgh Steelers,
Autographs Mosaic,4,Shaquil Barrett,Tampa Bay Buccaneers,
Autographs Mosaic,6,Gilbert Brown,Green Bay Packers,
Autographs Mosaic,8,Parris Campbell,Indianapolis Colts,
Autographs Mosaic,9,Ricky Watters,Seattle Seahawks,
Autographs Mosaic,10,Carlos Rogers,San Francisco 49ers,
Autographs Mosaic,11,Anthony Miller,Chicago Bears,
Autographs Mosaic,12,Nate Solder,New York Giants,
Autographs Mosaic,13,Willie Gault,Chicago Bears,
Autographs Mosaic,14,Danny White,Dallas Cowboys,
Autographs Mosaic,15,Jason Peters,Philadelphia Eagles,
Autographs Mosaic,16,Andre Johnson,Houston Texans,
Autographs Mosaic,17,Kyle Van Noy,Miami Dolphins,
Autographs Mosaic,18,Willie Roaf,Kansas City Chiefs,
Autographs Mosaic,19,Kyle Long,Chicago Bears,
Autographs Mosaic,20,Hakeem Butler,Arizona Cardinals,
Autographs Mosaic,21,Hunter Henry,Los Angeles Chargers,
Autographs Mosaic,23,Daryle Lamonica,Oakland Raiders,
Autographs Mosaic,24,Bruce Matthews,Houston Oilers,
Autographs Mosaic,25,Tre'Davious White,Buffalo Bills,
Autographs Mosaic,26,Bob Lilly,Dallas Cowboys,
Autographs Mosaic,27,Chad Johnson,Cincinnati Bengals,
Autographs Mosaic,28,Cameron Heyward,Pittsburgh Steelers,
Autographs Mosaic,29,Cliff Harris,Dallas Cowboys,
Autographs Mosaic,30,Geno Atkins,Cincinnati Bengals,
Autographs Mosaic,31,Dak Prescott,Dallas Cowboys,
Autographs Mosaic,33,Marv Levy,Buffalo Bills,
Autographs Mosaic,34,Ottis Anderson,New York Giants,
Autographs Mosaic,35,Quinnen Williams,New York Jets,
Autographs Mosaic,36,Ty Law,New England Patriots,
Autographs Mosaic,37,Simeon Rice,Tampa Bay Buccaneers,
Autographs Mosaic,38,Everson Walls,Dallas Cowboys,
Autographs Mosaic,39,Rodney Hampton,New York Giants,
Autographs Mosaic,40,Jerry Kramer,Green Bay Packers,
Autographs Mosaic Black,1,Jevon Kearse,Tennessee Titans,1
Autographs Mosaic Black,2,N'Keal Harry,New England Patriots,1
Autographs Mosaic Black,3,Diontae Johnson,Pittsburgh Steelers,1
Autographs Mosaic Black,4,Shaquil Barrett,Tampa Bay Buccaneers,1
Autographs Mosaic Black,5,Kenny Golladay,Detroit Lions,1
Autographs Mosaic Black,6,Gilbert Brown,Green Bay Packers,1
Autographs Mosaic Black,7,Kenyan Drake,Arizona Cardinals,1
Autographs Mosaic Black,8,Parris Campbell,Indianapolis Colts,1
Autographs Mosaic Black,9,Ricky Watters,Seattle Seahawks,1
Autographs Mosaic Black,10,Carlos Rogers,San Francisco 49ers,1
Autographs Mosaic Black,11,Anthony Miller,Chicago Bears,1
Autographs Mosaic Black,12,Nate Solder,New York Giants,1
Autographs Mosaic Black,13,Willie Gault,Chicago Bears,1
Autographs Mosaic Black,14,Danny White,Dallas Cowboys,1
Autographs Mosaic Black,15,Jason Peters,Philadelphia Eagles,1
Autographs Mosaic Black,16,Andre Johnson,Houston Texans,1
Autographs Mosaic Black,17,Kyle Van Noy,Miami Dolphins,1
Autographs Mosaic Black,18,Willie Roaf,Kansas City Chiefs,1
Autographs Mosaic Black,19,Kyle Long,Chicago Bears,1
Autographs Mosaic Black,20,Hakeem Butler,Arizona Cardinals,1
Autographs Mosaic Black,21,Hunter Henry,Los Angeles Chargers,1
Autographs Mosaic Black,22,JuJu Smith-Schuster,Pittsburgh Steelers,1
Autographs Mosaic Black,23,Daryle Lamonica,Oakland Raiders,1
Autographs Mosaic Black,24,Bruce Matthews,Houston Oilers,1
Autographs Mosaic Black,25,Tre'Davious White,Buffalo Bills,1
Autographs Mosaic Black,26,Bob Lilly,Dallas Cowboys,1
Autographs Mosaic Black,27,Chad Johnson,Cincinnati Bengals,1
Autographs Mosaic Black,28,Cameron Heyward,Pittsburgh Steelers,1
Autographs Mosaic Black,29,Cliff Harris,Dallas Cowboys,1
