Card Set,Number,Player,Team,Seq.
Access Denied,1,Gianluigi Donnarumma,Italy,
Access Denied,2,Thibaut Courtois,Belgium,
Access Denied,3,David de Gea,Spain,
Access Denied,4,Manuel Neuer,Germany,
Access Denied,5,Kasper Schmeichel,Denmark,
Access Denied,6,Yann Sommer,Switzerland,
Access Denied,7,Jasper Cillessen,Netherlands,
Access Denied,8,Rui Patricio,Portugal,
Access Denied,9,Robin Olsen,Sweden,
Access Denied,10,Lukas Hradecky,Finland,
Access Denied Black,1,Gianluigi Donnarumma,Italy,1
Access Denied Black,2,Thibaut Courtois,Belgium,1
Access Denied Black,3,David de Gea,Spain,1
Access Denied Black,4,Manuel Neuer,Germany,1
Access Denied Black,5,Kasper Schmeichel,Denmark,1
Access Denied Black,6,Yann Sommer,Switzerland,1
Access Denied Black,7,Jasper Cillessen,Netherlands,1
Access Denied Black,8,Rui Patricio,Portugal,1
Access Denied Black,9,Robin Olsen,Sweden,1
Access Denied Black,10,Lukas Hradecky,Finland,1
Access Denied Gold,1,Gianluigi Donnarumma,Italy,10
Access Denied Gold,2,Thibaut Courtois,Belgium,10
Access Denied Gold,3,David de Gea,Spain,10
Access Denied Gold,4,Manuel Neuer,Germany,10
Access Denied Gold,5,Kasper Schmeichel,Denmark,10
Access Denied Gold,6,Yann Sommer,Switzerland,10
Access Denied Gold,7,Jasper Cillessen,Netherlands,10
Access Denied Gold,8,Rui Patricio,Portugal,10
Access Denied Gold,9,Robin Olsen,Sweden,10
Access Denied Gold,10,Lukas Hradecky,Finland,10
Access Denied Silver,1,Gianluigi Donnarumma,Italy,25
Access Denied Silver,2,Thibaut Courtois,Belgium,25
Access Denied Silver,3,David de Gea,Spain,25
Access Denied Silver,4,Manuel Neuer,Germany,25
Access Denied Silver,5,Kasper Schmeichel,Denmark,25
Access Denied Silver,6,Yann Sommer,Switzerland,25
Access Denied Silver,7,Jasper Cillessen,Netherlands,25
Access Denied Silver,8,Rui Patricio,Portugal,25
Access Denied Silver,9,Robin Olsen,Sweden,25
Access Denied Silver,10,Lukas Hradecky,Finland,25
Field Level Color Variation,178,Eden Hazard,Belgium,
Field Level Color Variation,179,Luka Modric,Croatia,
Field Level Color Variation,181,Jadon Sancho,England,
Field Level Color Variation,193,Oleksandr Zinchenko,Ukraine,
Field Level Color Variation,200,Jakub Jankto,Czech Republic,
Field Level Color Variation,265,Stefano Sensi,Italy,
Field Level Color Variation,268,Joao Felix,Portugal,
Field Level Color Variation,271,Marcus Berg,Sweden,
Field Level Color Variation Black,178,Eden Hazard,Belgium,1
Field Level Color Variation Black,179,Luka Modric,Croatia,1
Field Level Color Variation Black,181,Jadon Sancho,England,1
Field Level Color Variation Black,193,Oleksandr Zinchenko,Ukraine,1
Field Level Color Variation Black,200,Jakub Jankto,Czech Republic,1
Field Level Color Variation Black,265,Stefano Sensi,Italy,1
Field Level Color Variation Black,268,Joao Felix,Portugal,1
Field Level Color Variation Black,271,Marcus Berg,Sweden,1
Field Level Color Variation Camo,178,Eden Hazard,Belgium,49
Field Level Color Variation Camo,179,Luka Modric,Croatia,49
Field Level Color Variation Camo,181,Jadon Sancho,England,49
Field Level Color Variation Camo,193,Oleksandr Zinchenko,Ukraine,49
Field Level Color Variation Camo,200,Jakub Jankto,Czech Republic,49
Field Level Color Variation Camo,265,Stefano Sensi,Italy,49
Field Level Color Variation Camo,268,Joao Felix,Portugal,49
Field Level Color Variation Camo,271,Marcus Berg,Sweden,49
Field Level Color Variation Gold,178,Eden Hazard,Belgium,10
Field Level Color Variation Gold,179,Luka Modric,Croatia,10
Field Level Color Variation Gold,181,Jadon Sancho,England,10
Field Level Color Variation Gold,193,Oleksandr Zinchenko,Ukraine,10
Field Level Color Variation Gold,200,Jakub Jankto,Czech Republic,10
Field Level Color Variation Gold,265,Stefano Sensi,Italy,10
Field Level Color Variation Gold,268,Joao Felix,Portugal,10
Field Level Color Variation Gold,271,Marcus Berg,Sweden,10
Field Level Color Variation Green,178,Eden Hazard,Belgium,5
Field Level Color Variation Green,179,Luka Modric,Croatia,5
Field Level Color Variation Green,181,Jadon Sancho,England,5
Field Level Color Variation Green,193,Oleksandr Zinchenko,Ukraine,5
Field Level Color Variation Green,200,Jakub Jankto,Czech Republic,5
Field Level Color Variation Green,265,Stefano Sensi,Italy,5
Field Level Color Variation Green,268,Joao Felix,Portugal,5
Field Level Color Variation Green,271,Marcus Berg,Sweden,5
Field Level Color Variation Light Blue,178,Eden Hazard,Belgium,175
Field Level Color Variation Light Blue,179,Luka Modric,Croatia,175
Field Level Color Variation Light Blue,181,Jadon Sancho,England,175
Field Level Color Variation Light Blue,193,Oleksandr Zinchenko,Ukraine,175
Field Level Color Variation Light Blue,200,Jakub Jankto,Czech Republic,175
Field Level Color Variation Light Blue,265,Stefano Sensi,Italy,175
Field Level Color Variation Light Blue,268,Joao Felix,Portugal,175
Field Level Color Variation Light Blue,271,Marcus Berg,Sweden,175
Field Level Color Variation Neon Green,178,Eden Hazard,Belgium,149
Field Level Color Variation Neon Green,179,Luka Modric,Croatia,149
Field Level Color Variation Neon Green,181,Jadon Sancho,England,149
Field Level Color Variation Neon Green,193,Oleksandr Zinchenko,Ukraine,149
Field Level Color Variation Neon Green,200,Jakub Jankto,Czech Republic,149
Field Level Color Variation Neon Green,265,Stefano Sensi,Italy,149
Field Level Color Variation Neon Green,268,Joao Felix,Portugal,149
Field Level Color Variation Neon Green,271,Marcus Berg,Sweden,149
Field Level Color Variation Pink,178,Eden Hazard,Belgium,99
Field Level Color Variation Pink,179,Luka Modric,Croatia,99
Field Level Color Variation Pink,181,Jadon Sancho,England,99
Field Level Color Variation Pink,193,Oleksandr Zinchenko,Ukraine,99
Field Level Color Variation Pink,200,Jakub Jankto,Czech Republic,99
Field Level Color Variation Pink,265,Stefano Sensi,Italy,99
Field Level Color Variation Pink,268,Joao Felix,Portugal,99
Field Level Color Variation Pink,271,Marcus Berg,Sweden,99
Field Level Color Variation Red,178,Eden Hazard,Belgium,65
Field Level Color Variation Red,179,Luka Modric,Croatia,65
Field Level Color Variation Red,181,Jadon Sancho,England,65
Field Level Color Variation Red,193,Oleksandr Zinchenko,Ukraine,65
Field Level Color Variation Red,200,Jakub Jankto,Czech Republic,65
Field Level Color Variation Red,265,Stefano Sensi,Italy,65
Field Level Color Variation Red,268,Joao Felix,Portugal,65
Field Level Color Variation Red,271,Marcus Berg,Sweden,65
Field Level Color Variation Silver,178,Eden Hazard,Belgium,
Field Level Color Variation Silver,179,Luka Modric,Croatia,
Field Level Color Variation Silver,181,Jadon Sancho,England,
Field Level Color Variation Silver,193,Oleksandr Zinchenko,Ukraine,
Field Level Color Variation Silver,200,Jakub Jankto,Czech Republic,
Field Level Color Variation Silver,265,Stefano Sensi,Italy,
Field Level Color Variation Silver,268,Joao Felix,Portugal,
Field Level Color Variation Silver,271,Marcus Berg,Sweden,
Field Level Color Variation Tie-Dye,178,Eden Hazard,Belgium,25
Field Level Color Variation Tie-Dye,179,Luka Modric,Croatia,25
Field Level Color Variation Tie-Dye,181,Jadon Sancho,England,25
Field Level Color Variation Tie-Dye,193,Oleksandr Zinchenko,Ukraine,25
