Card Set,Number,Player,Team
Base,BFE-1,Bobby Witt Jr.,Kansas City Royals
Base,BFE-2,Freddy Zamora,Milwaukee Brewers
Base,BFE-3,Zac Veen,Colorado Rockies
Base,BFE-4,Riley Greene,Detroit Tigers
Base,BFE-5,Nick Maton,Philadelphia Phillies
Base,BFE-6,James Beard,Chicago White Sox
Base,BFE-7,Maximo Acosta,Texas Rangers
Base,BFE-8,Marco Luciano,San Francisco Giants
Base,BFE-9,Forrest Whitley,Houston Astros
Base,BFE-10,Brice Turang,Milwaukee Brewers
Base,BFE-11,Jeremy Pena,Houston Astros
Base,BFE-12,Ed Howard,Chicago Cubs
Base,BFE-13,Jasson Dominguez,New York Yankees
Base,BFE-14,CJ Abrams,San Diego Padres
Base,BFE-15,Colton Welker,Colorado Rockies
Base,BFE-16,Clayton Beeter,Los Angeles Dodgers
Base,BFE-17,Bryson Stott,Philadelphia Phillies
Base,BFE-18,Hunter Bishop,San Francisco Giants
Base,BFE-19,Vidal Brujan,Tampa Bay Rays
Base,BFE-20,Nick Lodolo,Cincinnati Reds
Base,BFE-21,Adinso Reyes,Detroit Tigers
Base,BFE-22,Pete Crow-Armstrong,New York Mets
Base,BFE-23,Ronny Mauricio,New York Mets
Base,BFE-24,Oneil Cruz,Pittsburgh Pirates
Base,BFE-25,Jeremy De La Rosa,Washington Nationals
Base,BFE-26,Reid Detmers,Los Angeles Angels
Base,BFE-27,Alek Manoah,Toronto Blue Jays
Base,BFE-28,Shea Langeliers,Atlanta Braves
Base,BFE-29,Matthew Liberatore,St. Louis Cardinals
Base,BFE-30,Jordyn Adams,Los Angeles Angels
Base,BFE-31,Alek Thomas,Arizona Diamondbacks
Base,BFE-32,Dax Fulton,Miami Marlins
Base,BFE-33,Eddy Diaz,Colorado Rockies
Base,BFE-34,Nick Gonzales,Pittsburgh Pirates
Base,BFE-35,Nolan Jones,Cleveland Indians
Base,BFE-36,Ismael Mena,San Diego Padres
Base,BFE-37,Jeisson Rosario,Boston Red Sox
Base,BFE-38,Josh Jung,Texas Rangers
Base,BFE-39,Kody Hoese,Los Angeles Dodgers
Base,BFE-40,Yolbert Sanchez,Chicago White Sox
Base,BFE-41,Justin Foscue,Texas Rangers
Base,BFE-42,Mick Abel,Philadelphia Phillies
Base,BFE-43,Jackson Kowar,Kansas City Royals
Base,BFE-44,Bryce Jarvis,Arizona Diamondbacks
Base,BFE-45,Robert Puason,Oakland Athletics
Base,BFE-46,Jonathan India,Cincinnati Reds
Base,BFE-47,Austin Wells,New York Yankees
Base,BFE-48,Braden Shewmake,Atlanta Braves
Base,BFE-49,Gunnar Henderson,Baltimore Orioles
Base,BFE-50,Oswald Peraza,New York Yankees
Base,BFE-51,Tyler Soderstrom,Oakland Athletics
Base,BFE-52,Liover Peguero,Pittsburgh Pirates
Base,BFE-53,Francisco Alvarez,New York Mets
Base,BFE-54,Daniel Lynch,Kansas City Royals
Base,BFE-55,Austin Hendrick,Cincinnati Reds
Base,BFE-56,Freudis Nova,Houston Astros
Base,BFE-57,Wander Franco,Tampa Bay Rays
Base,BFE-58,Logan Gilbert,Seattle Mariners
Base,BFE-59,Jake Vogel,Los Angeles Dodgers
Base,BFE-60,Seth Beer,Arizona Diamondbacks
Base,BFE-61,Jordan Balazovic,Minnesota Twins
Base,BFE-62,Isaiah Greene,New York Mets
Base,BFE-63,Royce Lewis,Minnesota Twins
